trial,requested_ns,actual_ns,error_ns
1,1000000,1061640,61640
2,1000000,1014756,14756
3,1000000,1055372,55372
4,1000000,1055346,55346
5,1000000,1055579,55579
6,1000000,1060195,60195
7,1000000,1057732,57732
8,1000000,1055313,55313
9,1000000,1100532,100532
10,1000000,1058963,58963
11,1000000,1056305,56305
12,1000000,1056891,56891
13,1000000,1054938,54938
14,1000000,1056165,56165
15,1000000,1056360,56360
16,1000000,1055924,55924
17,1000000,1056673,56673
18,1000000,1055064,55064
19,1000000,1037167,37167
20,1000000,1055649,55649
21,1000000,1077366,77366
22,1000000,1057885,57885
23,1000000,1055462,55462
24,1000000,1078026,78026
25,1000000,1291919,291919
26,1000000,1058045,58045
27,1000000,1056049,56049
28,1000000,1056341,56341
29,1000000,1056034,56034
30,1000000,1056205,56205
31,1000000,1056460,56460
32,1000000,1032375,32375
33,1000000,1054732,54732
34,1000000,1125656,125656
35,1000000,1054781,54781
36,1000000,1139919,139919
37,1000000,1056101,56101
38,1000000,1056311,56311
39,1000000,1056131,56131
40,1000000,1056350,56350
41,1000000,1057963,57963
42,1000000,1056457,56457
43,1000000,1056267,56267
44,1000000,1055971,55971
45,1000000,1056274,56274
46,1000000,1056006,56006
47,1000000,1046137,46137
48,1000000,1054655,54655
49,1000000,1086745,86745
50,1000000,1095003,95003
51,1000000,2019596,1019596
52,1000000,1133613,133613
53,1000000,1058296,58296
54,1000000,1056192,56192
55,1000000,1151744,151744
56,1000000,1058274,58274
57,1000000,1056959,56959
58,1000000,1056115,56115
59,1000000,1056458,56458
60,1000000,1056329,56329
61,1000000,1045775,45775
62,1000000,1054851,54851
63,1000000,1055193,55193
64,1000000,1054692,54692
65,1000000,1055314,55314
66,1000000,1054576,54576
67,1000000,1065912,65912
68,1000000,1057576,57576
69,1000000,1056179,56179
70,1000000,1055254,55254
71,1000000,1059991,59991
72,1000000,1055626,55626
73,1000000,1056527,56527
74,1000000,1056295,56295
75,1000000,1055895,55895
76,1000000,1056296,56296
77,1000000,1056089,56089
78,1000000,1056214,56214
79,1000000,1032356,32356
80,1000000,1056042,56042
81,1000000,1055127,55127
82,1000000,1055747,55747
83,1000000,1067252,67252
84,1000000,1055048,55048
85,1000000,1054690,54690
86,1000000,1060729,60729
87,1000000,1057088,57088
88,1000000,1056342,56342
89,1000000,1054440,54440
90,1000000,1056187,56187
91,1000000,1056174,56174
92,1000000,1055910,55910
93,1000000,1056138,56138
94,1000000,1055738,55738
95,1000000,1056133,56133
96,1000000,1055861,55861
97,1000000,1008170,8170
98,1000000,1054822,54822
99,1000000,1108667,108667
100,1000000,1056574,56574
101,1000000,1054731,54731
102,1000000,1057184,57184
103,1000000,1055325,55325
104,1000000,1054721,54721
105,1000000,1065176,65176
106,1000000,1055761,55761
107,1000000,1055343,55343
108,1000000,1056129,56129
109,1000000,1055682,55682
110,1000000,1056053,56053
111,1000000,1056281,56281
112,1000000,1059228,59228
113,1000000,1405810,405810
114,1000000,1056338,56338
115,1000000,1092356,92356
116,1000000,1054686,54686
117,1000000,1054511,54511
118,1000000,1131756,131756
119,1000000,1058494,58494
120,1000000,1056157,56157
121,1000000,1056098,56098
122,1000000,1056529,56529
123,1000000,1060884,60884
124,1000000,1055255,55255
125,1000000,1055119,55119
126,1000000,1066217,66217
127,1000000,1055400,55400
128,1000000,1055545,55545
129,1000000,1055717,55717
130,1000000,1657854,657854
